,Producator procesor,Tip procesor,Model procesor,Arhitectura,Numar nuclee,Frecventa nominala,Cache,Tehnologie procesor,Procesor grafic integrat,Diagonala display,Format display,Tehnologie display,Finisaj display,Rezolutie,Capacitate memorie,Tip memorie,Sloturi ocupate,Frecventa,Tip stocare,Capacitate SSD,Interfata SSD,Tip placa video,Chipset video,Camera WEB,Audio,Porturi,Cititor de carduri,Retea,Wireless,Tastatura numerica,Dimensiuni (W x H x D),Greutate,Securitate,Limba tastatura,Accesorii incluse,Culoare,Caracteristici cheie,Sistem de operare,Product name,New price,Old price,Reviews,Rating,Frecventa Turbo Boost,Unitate optica,Versiune Bluetooth,Platforma producator,Material,Autonomie baterie,Numar sloturi,Memorie integrata,Capacitate memorie maxima suportata,Capacitate HDD/SSHD,Viteza HDD,Tehnologii placa video,Tehnologii audio,Putere difuzoare,Model placa video,Capacitate memorie video,Tip memorie placa video,Producator difuzoare,Rata de refresh,Design,Touchscreen,Luminozitate,3G,4G
146,Intel,i3,7020U,Kaby Lake,2,2.3 GHz,3072 KB,14 nm,Intel HD Graphics 620,15.6 inch,HD,WLEDVA,Anti-Glare,1366 x 768,4 GB,DDR4,1,2400 MHz,SSD,256 GB,M.2,Integrata,Intel HD,HD,Difuzoare stereoMicrofon,2 x USB 3.11 x USB 2.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 ac,Da,376 x 22.5 x 246 mm,1.78 Kg,Security lockTPM 2.0 (Trusted Platform Module),Tastatura internationala,Adaptor 45W,Gri inchis,Camera webTouchpad care accepta gesturi de atingeri multiple,Free DOS,"Laptop HP 250 G7 cu procesor Intel Core i3-7020U 2.30 GHz, Kaby Lake, 15.6"", 4GB, 256GB SSD, Intel HD Graphics 620, Free DOS, Dark Ash Silver",1499.99,1899.99,Adauga,,,Da,4.2,,,12.5 h,1,,8 GB,,,DirectX 12,HD Audio,,,,,,60 Hz,,,220 niti,,
147,Intel,i7,9750H,Coffee Lake,6,2.6 GHz,12288 KB,14 nm,Intel UHD Graphics 630,17.3 inch,Full HD,IPS,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2666 MHz,SSD,512 GB,M.2,Dedicata,nVidia GeForce RTX,,Difuzoare stereoMicrofoane duale,1 x HDMI1 x RJ-451 x Audio Out/Microfon3 x USB 3.21 x USB 3.2 Type C Gen 2,,10/100/1000,802.11 ac 2x2,,399 x 26.2 x 293 mm,2.8 Kg,Parola BIOSParola administrator,Tastatura internationala,Adaptor 230W,Gunmetal Grey,Touchpad care accepta gesturi de atingeri multipleTastatura ChicletTastatura iluminata RGBRata refresh ecran 144HzROG Aura Sync,Free DOS,"Laptop gaming ASUS ROG Strix SCAR III G731GV cu procesor Intel Core i7-9750H pana la 4.50 GHz Coffee Lake, 17.3"", Full HD, IPS, 144Hz, 8GB, 512GB SSD, NVIDIA GeForce RTX 2060 6GB, Free DOS, Gunmetal Gray",5999.99,8199.99,Adauga,,4.5 GHz,,5.0,ASUS G731GV,,,2,,32 GB,,,DirectX 12GeForce ExperiencenVidia G-SyncnVidia 3D VisionnVidia CUDAnVidia SurroundnVidia AnselnVidia GameStream,Smart Amp,8 W,RTX 2060,6144 MB,GDDR6,,144 Hz,,,,,
148,Intel,i5,9300H,Coffee Lake,4,2.4 GHz,8192 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,IPS,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2666 MHz,SSD,512 GB,M.2,Dedicata,nVidia GeForce GTX,,Difuzoare stereoMicrofoane duale,1 x RJ-453 x USB 3.11 x Audio Out/Microfon1 x HDMI 2.0,,10/100/1000,802.11 ac 2x2,Da,360 x 25.8 x 275 mm,2.4 Kg,Parola BIOS,Tastatura internationala,Adaptor 150W,Negru,Touchpad care accepta gesturi de atingeri multipleTastatura ChicletTastatura iluminata RGBDual Cooling FansTehnologie NKROAura Sync,Free DOS,"Laptop Gaming ASUS ROG G G531GT cu procesor Intel Core i5-9300H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 512GB SSD, NVIDIA GeForce GTX 1650 4GB, Free DOS, Black",4499.98,4499.98,1,5.00,4.1 GHz,,5.0,,,,2,,32 GB,,,DirectX 12GeForce ExperiencenVidia G-SyncnVidia GameWorksnVidia 3D VisionnVidia PhysXnVidia SurroundnVidia GameStreamnVidia FXAAVR Ready,Sonic StudioSmart AMPSonic Radar,3 W,GTX 1650,4096 MB,GDDR5,,,,,,,
149,AMD,A4,9120,Stoney Ridge,2,2200 MHz,1024 KB,,AMD Radeon R3 Graphics,15.6 inch,HD,,,1366 x 768,4 GB,DDR4,1,,HDD,,,Integrata,AMD Radeon,VGA,,1 x Jack 3.5 mm,SD,10/100/1000,802.11 b/g/n,Da,380 x 23.8 x 253.8 mm,2.1 Kg,Kensington MicroSaver,Tastatura internationala,,Negru,Camera web,Free DOS,"Laptop HP 15-rb018nq, AMD A4-9120, 4GB DDR4, HDD 500GB, AMD Radeon R3, Free DOS",999.99,1299.00,1,5.00,2500 MHz,Da,4.2,,,11 h,1,,,500 GB,5400 rpm,,,,,,GDDR4,,,,,,,
150,Intel,i7,9750H,Coffee Lake,6,2.6 GHz,12288 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,IPS,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2666 MHz,HDD + SSD,256 GB,M.2,Dedicata,nVidia GeForce GTX,HD,Difuzoare stereoMicrofoane duale,1 x Mini DisplayPort1 x RJ-451 x USB 3.1 type C3 x USB 3.11 x Audio Out/Microfon1 x HDMI 2.0,,10/100/1000,802.11 ac 2x2,Da,360 x 24.2 - 25.2 x 267 mm,2.3 Kg,Parola BIOSTPM 2.0 (Trusted Platform Module),Tastatura internationala,Adaptor 170W,Negru,Camera webTastatura iluminataTouchpad care accepta gesturi de atingeri multipleTastatura ChicletTaste WASD evidentiate,Free DOS,"Laptop Gaming Lenovo Legion Y7000 cu procesor Intel Core i7-9750H pana la 4.5 GHz, 15.6"", Full HD, 8GB DDR4, 256GB SSD M.2 + 1TB HDD, NVIDIA GeForce GTX 1650 4GB, Free DOS, Black",4199.99,4599.99,3,4.00,4.5 GHz,,4.2,Legion Y7000 Series,,,2,,32 GB,1 TB,5400 rpm,GeForce ExperienceDirectX 12nVidia G-SyncnVidia GameWorksnVidia CUDAnVidia PhysXnVidia SurroundnVidia AnselnVidia GameStream,Harman KardonDolby Atmos,4 W,GTX 1650,4096 MB,GDDR5,,,,,,,
151,Intel,Pentium,4417U,Kaby Lake R,2,2.3 GHz,2048 KB,14 nm,Intel HD Graphics 610,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,4 GB,DDR4,,,HDD,,,Integrata,Intel HD,VGA,Difuzoare stereoMicrofon,1 x USB 3.02 x USB 2.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 ac,Da,381.6 x 21 x 262.8 mm,2.1 Kg,Kensington LockParola BIOS,Tastatura internationala,Adaptor 45W,Negru,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Endless OS,"Laptop Acer Aspire 3 A315-53 cu procesor Intel Pentium 4417U 2.30 GHz, Kaby Lake R, 15.6"", Full HD, 4GB, 1TB, Intel HD Graphics 610, Endless OS, Black",1199.99,1549.99,1,5.00,,Nu,4.0,Acer Aspire 3,,7 h,,,,1 TB,5400 rpm,DirectX 12,,,,,,,,,,,,
152,Intel,i7,8565U,Whiskey Lake,4,1.8 GHz,8192 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,WLEDVA,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2400 MHz,SSD,256 GB,M.2,Integrata,Intel UHD,HD,Difuzoare stereoMicrofon,2 x USB 3.11 x USB 2.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 ac,Da,376 x 22.5 x 246 mm,1.78 Kg,Security lockTPM 2.0 (Trusted Platform Module),Tastatura internationala,Adaptor 45W,Gri inchis,Camera webTouchpad care accepta gesturi de atingeri multiple,Windows 10 Pro,"Laptop HP 250 G7 cu procesor Intel Core i7-8565U pana la 4.60 GHz, Whiskey Lake, 15.6"", Full HD, 8GB, 256GB SSD, DVD-RW, Intel UHD Graphics 620, Windows 10 Pro, Dark Ash Silver",4199.99,None,1,5.00,4.6 GHz,Da,4.2,,,12.5 h,1,,8 GB,,,DirectX 12,HD Audio,,,,,,,,,220 niti,,
153,Intel,i7,9750H,Coffee Lake,6,2.6 GHz,12288 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,IPS,Anti-Glare,1920 x 1080,8 GB,DDR4,2,2666 MHz,HDD + SSD,256 GB,M.2,Dedicata,nVidia GeForce GTX,HD,Difuzoare stereoMicrofoane duale,1 x RJ-451 x USB type C3 x USB 3.11 x Audio Out/Microfon1 x HDMI 2.0,SD,10/100/1000,802.11 ac 2x2,Da,364.3 x 23.7 x 273.4 mm,2.6 Kg,Noble lock,Tastatura internationala,Adaptor 130W,Nergu,Tastatura iluminataTouchpad care accepta gesturi de atingeri multipleTastatura ChicletRata refresh ecran 144Hz,Windows 10 Home,"Laptop Gaming Dell Inspiron 5590 G5 cu procesor Intel Core i7-9750H pana la 4.5 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2 + 1TB HDD, NVIDIA GeForce GTX 1650 4GB, Windows 10, Black",5299.99,6499.99,Adauga,,4.5 GHz,,4.0,,,,,,32 GB,1 TB,5400 rpm,DirectX 12,,,GTX 1650,4096 MB,GDDR5,,,,,,,
154,Intel,i5,8265U,Whiskey Lake,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,14 inch,Full HD,LCD LED,Glare,1920 x 1080,8 GB,LPDDR3,,2133 MHz,SSD,256 GB,PCI Express,Integrata,Intel UHD,HD,Difuzoare stereoMicrofon,1 x USB 3.11 x USB 2.01 x HDMI1 x Audio Out/Microfon1 x USB 3.1 type C Gen 2,SD,,802.11 ac,Da,323 x 15.9 x 211 mm,1.48 Kg,TPM (Trusted Platform Module)Parola BIOSParola HDD,Tastatura internationala,Adaptor 45W,Utopia Blue Metal,Tastatura iluminataTouchpad care accepta gesturi de atingeri multipleTastatura ChicletTouchpad cu tastatura numerica integrata,Endless OS,"Laptop ultraportabil ASUS UX431FA cu procesor Intel Core i5-8265U pana la 3.90 GHz Whiskey Lake, 14"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Endless OS, Utopia Blue Metal",3299.99,3999.99,Adauga,,3.9 GHz,,5.0,ASUS UX431FA,,,,8192 MB,8 GB,,,,Harman KardonICEsound,,,,,Harman Kardon,,,,,,
155,Intel,i3,7020U,Kaby Lake,2,2.3 GHz,3072 KB,14 nm,Intel HD Graphics 620,14 inch,Full HD,IPS,Anti-Glare,1920 x 1080,4 GB,DDR4,,2133 MHz,HDD,,,Integrata,Intel HD,HD,Difuzoare stereoMicrofoane duale,2 x USB 3.01 x USB 3.1 type C1 x Audio Out/Microfon1 x HDMI 2.0,SDSDHCSDXCMMC,,802.11 ac,Nu,323.1 x 18.95 x 234.8 mm,1.67 Kg,Parola BIOSParola HDDSecurity lockTPM 2.0 (Trusted Platform Module),Tastatura internationala,Adaptor 65W,Albastru,Camera webTastatura iluminataTouchpad care accepta gesturi de atingeri multiple,Free DOS,"Laptop ultraportabil Lenovo IdeaPad 330S-14IKB cu procesor Intel Core i3-7020U 2.30 GHz, Kaby Lake, 14"", Full HD, IPS, 4GB, 1TB, Intel HD Graphics 620, Free DOS, Mid Night Blue",1699.99,2099.99,1,5.00,,Nu,4.1,IdeaPad 330S Series,Aluminiu,9 h,1,4096 MB,,1 TB,5400 rpm,DirectX 12,HD AudioDolby Audio,4 W,,,,,,,Nu,,,
