,Producator procesor,Tip procesor,Model procesor,Arhitectura,Numar nuclee,Frecventa nominala,Cache,Tehnologie procesor,Procesor grafic integrat,Diagonala display,Format display,Tehnologie display,Finisaj display,Rezolutie,Capacitate memorie,Tip memorie,Sloturi ocupate,Frecventa,Tip stocare,Capacitate SSD,Interfata SSD,Tip placa video,Chipset video,Camera WEB,Audio,Porturi,Cititor de carduri,Retea,Wireless,Tastatura numerica,Dimensiuni (W x H x D),Greutate,Securitate,Limba tastatura,Accesorii incluse,Culoare,Caracteristici cheie,Sistem de operare,Product name,New price,Old price,Reviews,Rating,Frecventa Turbo Boost,Unitate optica,Versiune Bluetooth,Platforma producator,Material,Autonomie baterie,Numar sloturi,Memorie integrata,Capacitate memorie maxima suportata,Capacitate HDD/SSHD,Viteza HDD,Tehnologii placa video,Tehnologii audio,Putere difuzoare,Model placa video,Capacitate memorie video,Tip memorie placa video,Producator difuzoare,Rata de refresh,Design,Touchscreen,Luminozitate,3G,4G
0,Intel,i3,7020U,Kaby Lake,2,2.3 GHz,3072 KB,14 nm,Intel HD Graphics 620,15.6 inch,Full HD,LED,Anti-Glare,1920 x 1080,4 GB,DDR4,1,2666 MHz,SSD,128 GB,M.2,Integrata,Intel HD,HD,Difuzoare stereoMicrofoane duale,2 x USB 3.11 x USB 2.01 x HDMI1 x RJ-45,SDSDHCSDXC,10/100,802.11 ac,Da,380 x 23.65 x 260.3 mm,1.9 Kg,Parola BIOSSecurity lock,Tastatura internationala,Adaptor 65W,Negru,Camera webTouchpad care accepta gesturi de atingeri multiple,Ubuntu,"Laptop Dell Inspiron 3584 cu procesor Intel Core i3-7020U 2.3 GHz, 15.6, Full HD, 4GB, 128GB SSD M.2, Intel HD Graphics 620, Ubuntu, Black",1099.99,1899.99,1,4.00,,,,,,,,,,,,,,,,,,,,,,,,
1,Intel,i5,,,2,1800 MHz,3072 KB,,Intel HD Graphics 6000,13.3 inch,WXGA+,LCD LED,Glossy,1440 x 900,8 GB,LPDDR3,,1600 MHz,SSD,128 GB,PCI Express,Integrata,,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x Mini DisplayPort,SDXC,,802.11 ac,,325 x 3 - 17 x 227 mm,1.35 Kg,,Tastatura internationala,,Argintiu,Tastatura iluminataretro-iluminare LED,Mac OS,"Laptop Apple MacBook Air 13 cu procesor Intel Dual Core i5 1.80GHz, 13.3"", 8GB, 128GB SSD, Intel HD Graphics 6000, INT KB, Silver",4199.99,5799.99,65,4.38,2900 MHz,Nu,4.0,Apple MacBook Air 13,Aluminiu,12 h,,,,,,,,,,,,,,,,,,
2,Intel,i3,7020U,Kaby Lake,2,2.3 GHz,3072 KB,14 nm,Intel HD Graphics 620,15.6 inch,Full HD,TN,Anti-Glare,1920 x 1080,4 GB,DDR4,,2133 MHz,HDD,,,Integrata,,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 ac,Da,375 x 253 x 22.3 mm,1.8 Kg,Kensington LockTPM (Trusted Platform Module),Tastatura UK,Adaptor 45W,Iron Grey,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura ergonomica,Free DOS,"Laptop Lenovo V130-15IKB cu procesor Intel Core i3-7020U 2.30 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 1TB, Intel HD Graphics 620, Free DOS, Iron Grey",1099.99,1849.99,8,4.00,,Nu,Bluetooth 4.1,V130 Series,,6 h,1,4096 MB,12 GB,1 TB,5400 rpm,DirectX 12,Dolby Audio,,,,,,,,,,,
3,Intel,Celeron,N4000,Gemini Lake,2,1.1 GHz,4096 KB,14 nm,Intel UHD Graphics 600,15.6 inch,HD,LCD LED,Anti-Glare,1366 x 768,4 GB,LPDDR4,,,HDD,,,Integrata,Intel UHD,VGA,Difuzoare stereoMicrofon,1 x USB 3.02 x USB 2.01 x HDMI1 x Audio Out/Microfon,Micro SD,,802.11 ac,Da,381 x 252 x 27.2 mm,2 Kg,TPM (Trusted Platform Module)Parola BIOSParola HDD,Tastatura internationala,Adaptor 33W,Chocolate Black,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Endless OS,"Laptop ASUS X540MA-GO207 cu procesor Intel Celeron N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, Intel UHD Graphics 600, Endless OS, Chocolate Black",799.99,1299.99,3,3.33,2.6 GHz,Nu,4.2,,,,,4096 MB,4 GB,500 GB,5400 rpm,,SonicMasterICEpower,,,,,,,,,,,
4,Intel,i5,7200U,Kaby Lake,2,2.5 GHz,3072 KB,14 nm,Intel HD Graphics 620,15.6 inch,HD,LCD LED,Anti-Glare,1366 x 768,4 GB,DDR4,,2133 MHz,HDD,,,Integrata,Intel HD,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXCMMC,10/100/1000,802.11 ac,Da,375 x 22.3 x 253 mm,1.8 Kg,Parola HDDSecurity lockTPM 2.0 (Trusted Platform Module),Tastatura UK,,Gri,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura ergonomica,Free DOS,"Laptop Lenovo V130-15IKB cu procesor Intel Core i5-7200U pana la 3.10 GHz, Kaby Lake, 15.6"", 4GB, 500GB, Intel HD Graphics 620, Free DOS, Iron Grey",1699.99,2299.99,1,5.00,3.1 GHz,Nu,4.1,,,6 h,1,4096 MB,12 GB,500 GB,5400 rpm,DirectX 12,Dolby Audio,4 W,,,,,,,,,,
5,Intel,i7,8750H,Coffee Lake,6,2200 MHz,9216 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,IPS,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2666 MHz,HDD,,,Dedicata,nVidia GeForce GTX,HD,Difuzoare stereoMicrofon,1 x Audio Out1 x HDMI1 x RJ-451 x USB type C3 x USB 3.1,SD,10/100/1000,802.11 ac 2x2,Da,388.5 x 24.8 x 275.5 mm,2.62 Kg,,Tastatura internationala,,Negru,Camera webTastatura iluminata,Free DOS,"Laptop Gaming OMEN by HP 15-dc0014nq cu procesor Intel Core i7-8750H pana la 4.10 GHz, Coffee Lake, 15.6"", Full HD, IPS, 8GB, 1TB, NVIDIA GeForce GTX 1050 Ti 4GB, Free DOS, Black",4099.99,5699.99,9,4.56,4100 MHz,Nu,4.2,OMEN by HP,,12 h,2,,,1 TB,7200 rpm,,,,GTX 1050 Ti,4096 MB,GDDR5,Bang & Olufsen,,,,,,
6,Intel,i5,8250U,Kaby Lake R,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,WLEDSVA,Anti-Glare,1920 x 1080,4 GB,DDR4,1,2400 MHz,HDD,,,Integrata,Intel UHD,HD,Difuzoare stereoMicrofon,2 x USB 3.11 x USB 2.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 b/g/n,Da,376 x 22.5 x 245 mm,2.04 Kg,Kensington MiniSaver,Tastatura internationala,Adaptor 45W,Negru,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Free DOS,"Laptop HP 15-da0042nq cu procesor Intel Core i5-8250U pana la 3.40 GHz Kaby Lake R, 15.6"", Full HD, 4GB, 1TB HDD, DVD-RW, Intel UHD Graphics, Free DOS, Sparkling Black",1799.99,2399.99,Adauga,,3.4 GHz,Da,4.2,,,,,,,1 TB,5400 rpm,DirectX 12,,,,,,,,,,,,
7,Intel,Celeron,N4000,Gemini Lake,2,1.1 GHz,4096 KB,14 nm,Intel UHD Graphics 600,15.6 inch,HD,LCD LED,Anti-Glare,1366 x 768,4 GB,LPDDR4,,2400 MHz,SSD,256 GB,,Integrata,Intel UHD,VGA,Difuzoare stereoMicrofon,1 x USB 3.02 x USB 2.01 x Jack 3.5 mm1 x HDMI,Micro SD,,802.11 ac,Da,381 x 27.2 x 252 mm,2 Kg,TPM (Trusted Platform Module)Parola BIOSParola HDD,Tastatura internationala,Adaptor 33W,Chocolate Black,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Endless OS,"Laptop ASUS X540MA cu procesor Intel Celeron N4000 pana la 2.60 GHz, 15.6"", 4GB, 256GB SSD, DVD-RW, Intel UHD Graphics 600, Endless OS, Chocolate Black",1049.99,1399.99,15,4.13,2.6 GHz,Da,4.2,ASUS X540MA,,,,4096 MB,4 GB,,,,SonicMasterICEpower,2 W,,,,,60 Hz,,,,,
8,Intel,i5,8265U,Whiskey Lake,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,1,,SSD,512 GB,,Integrata,Intel UHD,VGA,Difuzoare stereoMicrofon,2 x USB 2.01 x USB 3.11 x HDMI1 x USB type C1 x Audio Out/Microfon,Micro SDMicro SDXC,,802.11 ac,Da,360 x 22.9 x 235 mm,1.9 Kg,Parola BIOSTPM,Tastatura internationala,Adaptor 45W,Transparent Silver,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Free DOS,"Laptop ASUS X509FA cu procesor Intel Core i5-8265U pana la 3.90 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 512GB SSD, Intel UHD Graphics 620, Free DOS, Transparent Silver",2199.99,2999.99,Adauga,,3.9 GHz,,4.1,,,,,4096 MB,12 GB,,,,ICEpowerSonic Master,,,,,,60 Hz,,,,,
9,Intel,Celeron,N4000,Gemini Lake,2,1.1 GHz,4096 KB,14 nm,Intel UHD Graphics 600,15.6 inch,HD,TN,Anti-Glare,1366 x 768,4 GB,DDR4,1,2666 MHz,HDD,,,Integrata,Intel UHD,HD,Difuzoare stereoMicrofon,2 x USB 3.11 x USB 2.01 x HDMI1 x Audio Out/Microfon,SD,,802.11 ac,Da,380 x 20 x 258 mm,2 Kg,Parola BIOSSecurity lock,Tastatura internationala,,Negru,Camera webTouchpad care accepta gesturi de atingeri multiple,Linux,"Laptop Dell Inspiron 3582 cu procesor Intel Celeron N4000 pana la 2.60 GHz, 15.6"", 4GB, 500GB, DVD-RW, Intel UHD Graphics 600, Linux, Black",949.99,1299.99,2,5.00,2.6 GHz,Da,,,,,,,,500 GB,5400 rpm,DirectX 12,Waves MaxxAudio Pro,,,,,,,,,,,
10,Intel,i5,8250U,Kaby Lake R,4,1600 MHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,,2400 MHz,HDD,,,Dedicata,nVidia GeForce MX,HD,Difuzoare stereoMicrofon,2 x USB 3.11 x Audio Out1 x USB 2.01 x HDMI1 x RJ-45,SD,,802.11 ac,Da,376 x 22.5 x 246 mm,2.04 Kg,,Tastatura internationala,,Negru,Camera web,Free DOS,"Laptop HP 15-da0040nq cu procesor Intel Core i5-8250U pana la 3.40 GHz, Kaby Lake, 15.6"", Full HD, 8GB, 1TB, DVD-RW, NVIDIA GeForce MX130 4GB, Free DOS, Black",2299.99,3499.99,22,4.14,3400 MHz,Da,4.2,HP 15 Series,,,,,,1 TB,5400 rpm,,,,MX130,4096 MB,DDR3,,,,,,,
11,Intel,i5,8300H,Coffee Lake,4,2.3 GHz,8192 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2666 MHz,HDD + SSD,256 GB,M.2,Dedicata,nVidia GeForce GTX,HD,Difuzoare stereoMicrofoane duale,1 x USB 3.11 x USB 2.01 x HDMI1 x RJ-451 x USB 3.1 type C1 x Audio Out/Microfon,SDSDHCSDXC,10/100/1000,802.11 ac 2x2,Da,384 x 262 x 24 mm,2.6 Kg,Kensington LockParola BIOSParola HDD,Tastatura internationala,,Negru,Camera webTouchpad care accepta gesturi de atingeri multipleDual Cooling FansTastatura iluminata AURA RGBRata refresh ecran 120Hz,Free DOS,"Laptop Gaming ASUS Rog Strix GL503GE cu procesor Intel Core i5-8300H pana la 4.00 GHz, 15.6, Full HD, 8GB, 256GB SSD M.2 + 1TB HDD, GeForce GTX 1050Ti 4GB, Free DOS, Gunmetal",3499.99,5499.99,3,2.00,4 GHz,,5.0,ASUS GL503GE,,,2,,32 GB,1 TB,5400 rpm,DirectX 12NVIDIA GSYNCGeForce ExperienceVR Ready,Smart AmpASUS Sonic Studio,7 W,GTX 1050 Ti,4096 MB,GDDR5,,120 Hz,,,,,
12,AMD,Ryzen 5,3500U,Zen,4,2.1 GHz,4096 KB,12 nm,AMD Radeon Vega 8 Graphics,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2400 MHz,SSD,512 GB,,Dedicata,AMD Radeon,HD,Difuzoare stereoMicrofon,1 x USB 3.11 x USB 2.01 x HDMI1 x USB type C1 x Audio Out/Microfon,SD,,802.11 ac,Da,357 x 19.9 x 230 mm,1.6 Kg,,Tastatura internationala,Adaptor 65WAdaptor USB 3.0 la RJ45,Coral Crush,Camera webTastatura iluminataTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Free DOS,"Laptop ASUS X512DK cu procesor AMD Ryzen 5 3500U pana la 3.70 GHz, 15.6"", Full HD, 8GB, 512GB SSD, AMD Radeon R540X 2GB, Free DOS, Coral Crush",2299.99,2999.99,Adauga,,3.7 GHz,,4.2,,,,1,4096 MB,12 GB,,,DirectX 12,Sonic Master,,R540X,2048 MB,GDDR5,,60 Hz,,,,,
13,Intel,i7,8565U,Whiskey Lake,4,1.8 GHz,8192 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2400 MHz,HDD,,,Integrata,,HD,Difuzoare stereoMicrofon,2 x USB 2.01 x USB 3.11 x HDMI1 x USB type C1 x Audio Out/Microfon,SD,,802.11 ac,Da,357 x 19.9 x 230 mm,1.7 Kg,,Tastatura internationala,Adaptor USB 3.0 la RJ45Adaptor 45W,Gri,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Free DOS,"Laptop ASUS X512FA cu procesor Intel Core i7-8565U pana la 4.6 GHz, 15.6"", Full HD, 8GB, 1TB HDD, Intel UHD Graphics 620, Free DOS, Slate Gray",2499.99,3599.99,Adauga,,4.6 GHz,,4.2,,,,1,4096 MB,12 GB,1 TB,5400 rpm,,Sonic Master,,,,,,,,,,,
14,Intel,i5,9300H,Coffee Lake,4,2.4 GHz,8192 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,IPS,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2666 MHz,HDD + SSD,256 GB,,Dedicata,nVidia GeForce GTX,,Difuzoare stereoMicrofon,1 x RJ-451 x Audio Out/Microfon1 x HDMI 2.03 x USB 3.2,,10/100/1000,802.11 ac 2x2,Da,360 x 25.8 x 275 mm,2.4 Kg,Parola BIOSParola administrator,Tastatura internationala,Adaptor 150W,Negru,Touchpad care accepta gesturi de atingeri multipleTastatura ChicletRata refresh ecran 120HzDual Cooling FansAura SyncTastatura iluminata RGB 4 zone,Free DOS,"Laptop gaming ASUS ROG Strix G531GT cu procesor Intel Core i5-9300H pana la 4.0 GHz Coffee Lake, 15.6"", Full HD, IPS, 120Hz, 8GB, 256GB SSD + 1TB HDD, NVIDIA GeForce GTX 1650 4GB, Free DOS, Black",3999.99,5199.99,Adauga,,4.1 GHz,,5.0,ASUS G531GT,,,2,,32 GB,1 TB,5400 rpm,DirectX 12GeForce ExperiencenVidia G-SyncnVidia GameWorksnVidia 3D VisionnVidia PhysXnVidia SurroundnVidia GameStreamnVidia FXAAVR Ready,,3 W,GTX 1650,4096 MB,GDDR5,,120 Hz,,,,,
15,Intel,Celeron,N3350,Apollo Lake,2,1.1 GHz,2048 KB,14 nm,Intel HD Graphics 500,13.3 inch,Full HD,IPS,Glossy,1920 x 1080,4 GB,DDR3,,,eMMC,64 GB,,Integrata,Intel HD,VGA,Difuzoare stereoMicrofon,1 x mini HDMI2 x USB 3.01 x Audio Out/Microfon,Micro SDMicro SDHCMicro SDXC,,802.11 ac/a/b/g/n,,321.5 x 213.4 x 18.5 mm,1.24 Kg,Parola BIOSParola HDD,Tastatura internationala,,Argintiu,Camera webTouchpad care accepta gesturi de atingeri multiple,Windows 10 Home,"Laptop 2 in 1 Allview Allbook M cu procesor Intel Celeron N3350 pana la 2.40 GHz, 13.3"", Full HD, IPS, 4GB, 64GB eMMC, Intel HD Graphics, Microsoft Windows 10, Grey",999.99,1599.99,13,4.31,2.4 GHz,,4.0,Allview Allbook M,,7 h,,4096 MB,,,,,,2 W,,,,,,Convertibil,,,,
16,Intel,Celeron,N4000,Gemini Lake,2,1.1 GHz,4096 KB,14 nm,Intel UHD Graphics 600,15.6 inch,HD,LCD LED,Anti-Glare,1366 x 768,4 GB,LPDDR4,,2400 MHz,SSD,256 GB,SATA 3,Integrata,Intel UHD,VGA,MicrofonDifuzor,2 x USB 2.01 x USB 3.11 x HDMI1 x Audio Out/Microfon,Micro SD,,802.11 ac,Da,381 x 27.2 x 251 mm,1.9 Kg,TPM (Trusted Platform Module)Parola BIOSParola HDD,Tastatura internationala,Adaptor 33W,Chocolate Black,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Windows 10 Home,"Laptop ASUS X540MA-GO550T cu procesor Intel Celeron N4000 pana la 2.60 GHz, 15.6"", 4GB, 256GB SSD, Intel UHD Graphics 600, Microsoft Windows 10, Chocolate Black",1399.99,1699.99,6,4.33,2.6 GHz,Nu,4.2,ASUS X540MA,,,,4096 MB,,,,DirectX 12,SonicMasterICEpower,2 W,,,,,,,,,,
17,Intel,i5,8265U,Whiskey Lake,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2400 MHz,SSD,256 GB,M.2,Integrata,,HD,Difuzoare stereoMicrofon,2 x USB 2.01 x USB 3.11 x HDMI1 x USB type C1 x Audio Out/Microfon,SD,,802.11 ac,Da,357 x 19 x 230 mm,1.7 Kg,,Tastatura internationala,Adaptor USB 3.0 la RJ45Adaptor 45W,Coral Crush,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Free DOS,"Laptop ASUS X512FA cu procesor Intel Core i5-8265U pana la 3.9 GHz, 15.6"", Full HD, 8GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Coral Crush",2549.99,2999.99,Adauga,,3.9 GHz,,4.2,,,,1,4096 MB,12 GB,,,,Sonic Master,,,,,,60 Hz,,,,,
18,Intel,i5,8250U,Kaby Lake,4,1.6 GHz,6144 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2400 MHz,SSD,256 GB,M.2,Integrata,Intel UHD,HD,Difuzoare stereoMicrofon,1 x USB 3.11 x USB 2.01 x HDMI2 x USB 3.1 type C1 x Audio Out/Microfon,Micro SDMicro SDHCMicro SDXC,,802.11 ac,Da,357 x 19.9 x 230 mm,1.7 Kg,TPM,Tastatura internationala,Adaptor USB 3.0 la RJ45Adaptor 45W,Argintiu,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Free DOS,"Laptop ASUS VivoBook 15 X512UA cu procesor Intel Core i5-8250U pana la 3.40 GHz, Kaby Lake R, 15.6"", Full HD, 8GB, 256GB SSD, Intel UHD Graphics 620, Free DOS, Transparent Silver",2599.99,2949.99,1,3.00,3.4 GHz,,4.1,,,,1,4096 MB,12 GB,,,DirectX 12,Sonic Master,,,,,,60 Hz,,,,,
19,Intel,i7,9750H,Coffee Lake,6,2.6 GHz,12288 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,IPS,Anti-Glare,1920 x 1080,16 GB,DDR4,2,2666 MHz,SSD,512 GB,,Dedicata,nVidia GeForce GTX,,Difuzoare stereoMicrofoane duale,1 x RJ-451 x Audio Out/Microfon1 x USB 3.1 type C Gen 21 x HDMI 2.03 x USB 3.2,,10/100/1000,802.11 ac 2x2,Da,360 x 25.8 x 275 mm,2.4 Kg,Parola BIOSParola administrator,Tastatura internationala,Adaptor 230W,Negru,Touchpad care accepta gesturi de atingeri multipleTastatura ChicletRata refresh ecran 120HzDual Cooling FansAura SyncTastatura iluminata RGB 4 zone,Free DOS,"Laptop gaming ASUS ROG Strix G531GU cu procesor Intel Core i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", Full HD, IPS, 120Hz, 16GB, 512GB SSD, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, Black",5199.99,6999.99,Adauga,,4.5 GHz,,5.0,ASUS G531GU,,,2,,32 GB,,,DirectX 12GeForce ExperiencenVidia G-SyncnVidia GameWorksnVidia 3D VisionnVidia PhysXnVidia SurroundnVidia GameStreamnVidia FXAAVR Ready,Smart AMP,8 W,GTX 1660 Ti,6144 MB,GDDR6,,120 Hz,,,,,
20,Intel,i3,7020U,Whiskey Lake,2,2.3 GHz,3072 KB,14 nm,Intel HD Graphics 620,15.6 inch,Full HD,LED,Anti-Glare,1920 x 1080,4 GB,DDR4,1,2666 MHz,HDD,,,Integrata,Intel HD,HD,Difuzoare stereoMicrofoane duale,2 x USB 3.11 x USB 2.01 x HDMI1 x RJ-45,SDSDHCSDXC,10/100,802.11 ac,Da,380 x 260.3 - 23.6 x 260.3 mm,1.9 Kg,,Tastatura internationala,Adaptor 45W,Negru,Camera webTouchpad care accepta gesturi de atingeri multiple,,"Laptop Dell Inspiron 3584 cu procesor Intel Core i3-7020U 2.3 GHz, 15.6"", Full HD, 4GB, 1TB HDD, Intel HD Graphics 620, Ubuntu, Black",1499.99,1699.99,5,4.80,,,4.2,,,,2,,16 GB,,5400 rpm,,,,,,,,,,Nu,,,
21,Intel,i3,8145U,Whiskey Lake,2,2.1 GHz,4096 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCDLED,Anti-Glare,1920 x 1080,4 GB,DDR4,1,2400 MHz,SSD,256 GB,,Integrata,Intel UHD,VGA,Difuzoare stereoMicrofon,2 x USB 2.01 x USB 3.11 x HDMI1 x USB 3.1 type C1 x Audio Out/Microfon,Micro SDMicro SDHCMicro SDXC,,802.11 ac,Da,360 x 22.9 x 235 cm,1.9 Kg,Parola BIOSTPM,Tastatura internationala,Adaptor 45W,Argintiu,Camera webTastatura Chiclet,Free DOS,"Laptop ASUS A509FA cu procesor Intel Core i3-8145U pana la 3.9 GHz, 15.6"", Full HD, 4GB, 256GB SSD M.2, Intel UHD Graphics 620, Free DOS, Slate Gray",1599.99,2049.99,2,4.00,3.9 GHz,,4.1,ASUS A509FA,,,1,4096 MB,12 GB,,,,ICEpowerSonic Master,,,,,,,,,,,
22,Intel,Celeron,3867U,Kaby Lake R,2,1.8 GHz,2048 KB,14 nm,Intel HD Graphics 610,15.6 inch,HD,LCD LED,Anti-Glare,1366 x 768,4 GB,DDR4,,2133 MHz,HDD,,,Integrata,Intel HD,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x HDMI1 x RJ-451 x Audio Out/Microfon,SDSDHCSDXCMMC,10/100/1000,802.11 ac,Da,375 x 22.3 x 253 mm,1.8 Kg,Parola HDDSecurity lockTPM 2.0 (Trusted Platform Module),Tastatura UK,,Gri,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura ergonomica,Free DOS,"Laptop Lenovo V130-15IKB, cu procesor Intel Celeron 3867U 1.80 GHz, Dual Core, 15.6"", HD, 4GB, 500GB HDD, Intel HD Graphics 610, Free DOS, Iron Grey",849.99,999.99,2,3.00,,Nu,4.1,,,6 h,1,4096 MB,12 GB,500 GB,5400 rpm,,Dolby Audio,4 W,,,,,,,,,,
23,Intel,i5,7200U,Kaby Lake,2,2.5 GHz,3072 KB,14 nm,Intel HD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,4 GB,DDR4,,2133 MHz,HDD,,,Integrata,Intel HD,HD,Difuzoare stereoMicrofon,2 x USB 3.01 x Jack 3.5 mm1 x HDMI1 x RJ-45,SDSDHCSDXCMMC,10/100/1000,802.11 ac,Da,375 x 22.3 x 253 mm,1.8 Kg,Parola HDDSecurity lockTPM 2.0 (Trusted Platform Module),Tastatura UK,Adaptor 45W,Inox,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura ergonomica,Free DOS,"Laptop Lenovo V130-15IKB cu procesor Intel Core i5-7200U pana la 3.10 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 500GB, Intel HD Graphics 620, Free DOS, Iron Grey",1699.99,2299.99,2,5.00,3.1 GHz,Da,4.1,,,6 h,1,4096 MB,12 GB,500 GB,5400 rpm,DirectX 12,Dolby Audio,4 W,,,,,,,,,,
24,Intel,i3,8130U,Kaby Lake,2,2.2 GHz,4096 KB,14 nm,Intel UHD Graphics 620,15.6 inch,Full HD,LCD LED,Anti-Glare,1920 x 1080,4 GB,DDR4,,2133 MHz,SSD,256 GB,,Integrata,Intel UHD,VGA,Difuzoare stereoMicrofon,1 x USB 3.02 x USB 2.01 x Jack 3.5 mm1 x HDMI,Micro SD,,802.11 ac,Da,381 x 27.2 x 252 mm,2 Kg,TPM (Trusted Platform Module)Parola BIOSParola HDDSecurity lock,Tastatura internationala,Adaptor USB 3.0 la RJ45Adaptor 45W,Chocolate Black,Camera webTouchpad care accepta gesturi de atingeri multipleTastatura Chiclet,Endless OS,"Laptop ASUS VivoBook 15 X540UA cu procesor Intel Core i3-8130U pana la 3.40 GHz, Kaby Lake, 15.6"", Full HD, 4GB, 256GB SSD, DVD-RW, Intel UHD Graphics 620, Endless OS, Chocolate Black",1749.99,2049.99,5,4.60,3.4 GHz,Da,4.2,ASUS X540UA,,,1,4096 MB,12 GB,,,,SonicMaster,2 W,,,,,,,Nu,,,
25,Intel,i5,8300H,Coffee Lake,4,2.3 GHz,8192 KB,14 nm,Intel UHD Graphics 630,15.6 inch,Full HD,IPS,Anti-Glare,1920 x 1080,8 GB,DDR4,1,2666 MHz,SSD,512 GB,PCI Express,Dedicata,nVidia GeForce GTX,HD,Difuzoare stereoMicrofoane duale,1 x Mini DisplayPort1 x RJ-451 x USB 3.1 type C3 x USB 3.11 x Audio Out/Microfon1 x HDMI 2.0,,10/100/1000,802.11 ac 2x2,Da,365 x 267 - 24.9 x 23.9 mm,2.3 Kg,Kensington LockParola BIOSParola administratorParola HDD,Tastatura internationala,Adaptor 135W,Negru,Camera webTastatura iluminataTouchpad care accepta gesturi de atingeri multipleDual Cooling FansRata refresh ecran 144Hz,Free DOS,"Laptop Gaming Lenovo Legion Y530-15ICH cu procesor Intel Core i5-8300H pana la 4.00 GHz, Coffee Lake, 15.6"", Full HD, IPS, 144Hz, 8GB, 512GB SSD, NVIDIA GeForce GTX 1050 Ti 4GB, Free DOS, Black",3999.99,4699.99,2,5.00,4 GHz,Nu,4.1,Legion Y530 Series,,9.5 h,2,,16 GB,,,DirectX 12GeForce ExperiencenVidia CUDAnVidia PhysXnVidia AnselnVidia GameStreamnVidia FXAA,Harman KardonDolby Home Theater,4 W,GTX 1050 Ti,4096 MB,GDDR5,Harman Kardon,144 Hz,,Nu,300 niti,,
